Hours,Minutes,Dateavg,Depthavg,Tempavg,Salavg
9,54,2021-01-15T09:54:40Z,-0.009,27.246666666666666,34.44688051333333
9,55,2021-01-15T09:55:25Z,-0.005333333333333333,29.168333333333333,34.60004031
9,56,2021-01-15T09:56:25Z,0.25283333333333335,29.158333333333335,34.48346529
9,57,2021-01-15T09:57:25Z,0.271,29.146666666666665,34.387503986666665
9,58,2021-01-15T09:58:25Z,0.2935,29.138333333333335,34.349087991666664
9,59,2021-01-15T09:59:25Z,0.2655,29.123333333333335,34.367135471666664
10,0,2021-01-15T10:00:25Z,0.263,29.133333333333333,34.335257328333334
10,1,2021-01-15T10:01:25Z,0.2845,29.118333333333332,34.32355566
10,2,2021-01-15T10:02:25Z,0.2575,29.111666666666665,34.295320606666664
10,3,2021-01-15T10:03:25Z,0.24883333333333332,29.15833333333333,34.200410031666664
10,4,2021-01-15T10:04:25Z,0.2851666666666667,29.146666666666665,34.20372042166667
10,5,2021-01-15T10:05:25Z,0.26616666666666666,29.175,34.140063293333334
10,6,2021-01-15T10:06:25Z,0.26183333333333336,29.175,34.11169181333333
10,7,2021-01-15T10:07:25Z,0.2683333333333333,29.195,34.091923791666666
10,8,2021-01-15T10:08:25Z,0.2815,29.196666666666665,34.067985031666666
10,9,2021-01-15T10:09:25Z,0.26116666666666666,29.196666666666665,34.057453280000004
10,10,2021-01-15T10:10:25Z,0.26366666666666666,29.213333333333335,34.067809175
10,11,2021-01-15T10:11:25Z,0.2713333333333333,29.198333333333334,34.152349825
10,12,2021-01-15T10:12:25Z,0.267,29.196666666666665,34.102971725
10,13,2021-01-15T10:13:25Z,0.26983333333333337,29.158333333333335,34.05867381
10,14,2021-01-15T10:14:25Z,0.261,29.096666666666668,34.005171286666666
10,15,2021-01-15T10:15:25Z,0.2733333333333333,28.868333333333332,34.01027786833333
10,16,2021-01-15T10:16:25Z,0.26133333333333336,28.723333333333333,33.999080925
10,17,2021-01-15T10:17:25Z,0.2813333333333333,28.738333333333333,33.978469491666665
10,18,2021-01-15T10:18:25Z,0.27183333333333337,28.798333333333332,33.98948384
10,19,2021-01-15T10:19:25Z,0.271,28.759999999999998,33.678364625
10,20,2021-01-15T10:20:25Z,0.2768333333333333,28.805,33.78483330666667
10,21,2021-01-15T10:21:25Z,0.2605,28.825,33.857818664999996
10,22,2021-01-15T10:22:25Z,0.254,28.793333333333333,33.793472908333335
10,23,2021-01-15T10:23:25Z,0.2665,28.873333333333335,33.757486531666665
10,24,2021-01-15T10:24:25Z,0.24766666666666667,29.008333333333333,33.75311392333333
10,25,2021-01-15T10:25:25Z,0.2695,29.063333333333333,33.737526185
10,26,2021-01-15T10:26:25Z,0.27749999999999997,29.085,33.82519505
10,27,2021-01-15T10:27:25Z,0.253,29.23,33.91951592666666
10,28,2021-01-15T10:28:25Z,0.25966666666666666,29.18,33.904880846666664
10,29,2021-01-15T10:29:25Z,0.2925,29.166666666666668,33.93413447166667
10,30,2021-01-15T10:30:25Z,0.279,29.181666666666665,33.847563495
10,31,2021-01-15T10:31:25Z,0.25116666666666665,29.316666666666666,33.76194213
10,32,2021-01-15T10:32:25Z,0.26266666666666666,29.325,33.514241330000004
10,33,2021-01-15T10:33:25Z,0.27266666666666667,29.203333333333333,33.280084888333334
10,34,2021-01-15T10:34:25Z,0.25983333333333336,29.195,32.70716042833333
10,35,2021-01-15T10:35:25Z,0.25566666666666665,29.28,33.138904015
10,36,2021-01-15T10:36:25Z,0.275,29.283333333333335,33.490097553333335
10,37,2021-01-15T10:37:25Z,0.26016666666666666,29.298333333333332,32.90478522666667
10,38,2021-01-15T10:38:25Z,0.24633333333333335,29.285,32.864794085
10,39,2021-01-15T10:39:25Z,0.269,29.323333333333334,33.43803692666667
10,40,2021-01-15T10:40:25Z,0.2675,29.261666666666667,33.84663445333334
10,41,2021-01-15T10:41:25Z,0.2445,29.296666666666667,33.66500967
10,42,2021-01-15T10:42:25Z,0.26116666666666666,29.33833333333333,33.698517435
10,43,2021-01-15T10:43:25Z,0.289,29.34,33.785423648333335
10,44,2021-01-15T10:44:25Z,0.2593333333333333,29.365000000000002,33.72507539
10,45,2021-01-15T10:45:25Z,0.25483333333333336,29.373333333333335,33.653712835
10,46,2021-01-15T10:46:25Z,0.2583333333333333,29.368333333333332,33.613694841666664
10,47,2021-01-15T10:47:25Z,0.26866666666666666,29.351666666666667,33.547702148333336
10,48,2021-01-15T10:48:25Z,0.27266666666666667,29.39,33.60841178166667
10,49,2021-01-15T10:49:25Z,0.2685,29.405,33.670870928333336
10,50,2021-01-15T10:50:25Z,0.25883333333333336,29.406666666666666,33.64617728166667
10,51,2021-01-15T10:51:25Z,0.24866666666666667,29.391666666666666,33.648512501666666
10,52,2021-01-15T10:52:25Z,0.27216666666666667,29.388333333333332,33.66009809333333
10,53,2021-01-15T10:53:25Z,0.26866666666666666,29.41166666666667,33.673198248333335
10,54,2021-01-15T10:54:25Z,0.2445,29.418333333333333,33.67072037
10,55,2021-01-15T10:55:25Z,0.26166666666666666,29.401666666666667,33.673675548333335
10,56,2021-01-15T10:56:25Z,0.2713333333333333,29.41166666666667,33.60297781333333
10,57,2021-01-15T10:57:25Z,0.24133333333333334,29.384999999999998,33.552635885
10,58,2021-01-15T10:58:25Z,0.24066666666666667,29.39666666666667,33.53364110333333
10,59,2021-01-15T10:59:25Z,0.2615,29.435000000000002,33.43612615
11,0,2021-01-15T11:00:25Z,0.247,29.41166666666667,33.46640126
11,1,2021-01-15T11:01:25Z,0.24133333333333334,29.38,33.469549066666666
11,2,2021-01-15T11:02:25Z,0.26916666666666667,29.386666666666667,33.467072216666665
11,3,2021-01-15T11:03:25Z,0.26483333333333337,29.34166666666667,33.60412035
11,4,2021-01-15T11:04:25Z,0.24666666666666667,29.266666666666666,33.61260464833333
11,5,2021-01-15T11:05:25Z,0.25616666666666665,29.24,33.58300846
11,6,2021-01-15T11:06:25Z,0.2991666666666667,29.229999999999997,33.5900153
11,7,2021-01-15T11:07:25Z,0.28883333333333333,29.200000000000003,33.59369007833333
11,8,2021-01-15T11:08:25Z,0.28,29.165,33.61717191166667
11,9,2021-01-15T11:09:25Z,0.2755,29.143333333333334,33.63184215
11,10,2021-01-15T11:10:25Z,0.2665,29.113333333333333,33.67519922333334
11,11,2021-01-15T11:11:25Z,0.2693333333333333,29.096666666666668,33.72062805
11,12,2021-01-15T11:12:25Z,0.248,29.09,33.754240126666666
