Season,Time,Param_means,Param_vars,Param_sd
FALL,Day,291.9706298471828,550346.4859062029,741.8534126808361
FALL,Night,294.29122091229846,555468.551485232,745.2976261100206
SPRING,Day,293.84844454484454,552514.2157852855,743.3129998764218
SPRING,Night,294.37296337457815,560698.4019319073,748.7979713727243
